Claim ID,Payer,Service Type,Claim Volume,Processing Time (days),Authorization Requests,Authorization Turnaround Time (days),Claim Resubmission Rates (%),Administrative Staff Turnover Rate (%),Cost Per Authorization ($),Revenue Cycle Time (days),Payment Discrepancies ($),Patient Wait Times (days),Patient Retention Rates (%),Patient Health Outcomes (scale 1-10),Data Completeness (%),Data Timeliness (days),User Adoption Rates (%),Payer Response Time (days),Payer Reimbursement Rates (%),Payer Policy Change Frequency (times/year),System Downtime (hours),System Response Time (seconds),Integration Success Rates (%),Training Hours,Resource Utilization Rates (%),Staff Satisfaction (scale 1-10),Date
1397.0,Payer B,,206.0,33.0,39.0,18.0,,5.72,71.15,52.0,3777.06,8.0,80.43,9.0,96.22,2.0,72.43,11.0,76.55,1.0,0.0,1.36,83.1,,52.65,8.0,2022-06-05
,Payer C,Oncology,136.0,33.0,30.0,20.0,5.34,11.35,105.47,47.0,2965.82,9.0,78.17,5.0,98.23,4.0,66.84,13.0,59.79,1.0,,3.23,90.7,23.0,78.63,7.0,2020-11-15
1399.0,Payer C,Surgery,,35.0,71.0,15.0,17.36,11.84,62.58,56.0,2417.96,5.0,,9.0,81.46,2.0,80.5,23.0,81.96,2.0,4.0,2.77,79.29,26.0,89.5,5.0,2023-08-29
1400.0,,Oncology,191.0,120.0,50.0,24.0,6.26,10.34,94.72,31.0,4251.81,8.0,90.44,9.0,95.13,4.0,65.83,13.0,56.57,2.0,4.0,2.06,72.26,,79.6,7.0,2021-04-13
,,,117.0,38.0,38.0,13.0,7.16,11.67,106.99,48.0,2979.73,11.0,81.88,,85.11,3.0,85.27,37.0,,3.0,20.0,4.41,75.92,39.0,83.77,8.0,2020-02-14
1402.0,,Oncology,197.0,21.0,76.0,14.0,18.01,,110.57,53.0,4978.76,14.0,88.44,5.0,83.51,4.0,68.01,38.0,66.41,3.0,1.0,2.53,74.94,24.0,69.05,8.0,2023-01-01
1403.0,Payer C,,,29.0,44.0,21.0,11.25,9.9,86.55,39.0,2828.48,,70.48,5.0,92.02,2.0,71.79,27.0,70.1,2.0,1.0,3.8,88.96,43.0,53.82,8.0,2023-10-20
1404.0,Payer C,Cardiology,249.0,37.0,64.0,16.0,11.96,8.91,57.63,54.0,1272.0,,93.15,6.0,94.11,3.0,68.94,35.0,74.93,1.0,20.0,4.16,,17.0,79.06,9.0,2022-05-27
1405.0,Payer B,Surgery,238.0,36.0,34.0,10.0,14.74,5.9,115.53,58.0,3730.31,,89.35,6.0,87.9,4.0,79.32,29.0,79.04,3.0,4.0,1.71,96.54,12.0,60.26,8.0,2022-06-22
1406.0,Payer C,Surgery,285.0,24.0,70.0,23.0,24.57,,98.84,59.0,1186.57,8.0,79.85,5.0,80.78,3.0,63.03,25.0,73.44,,0.0,1.48,72.53,20.0,65.53,,
1407.0,Payer A,Cardiology,284.0,31.0,51.0,15.0,24.31,9.95,63.69,32.0,2002.01,10.0,,5.0,98.17,3.0,74.34,18.0,52.28,2.0,,,87.94,36.0,78.12,6.0,2020-12-12
1408.0,Payer B,Surgery,103.0,25.0,70.0,13.0,13.33,7.75,143.59,54.0,,9.0,72.57,,94.61,4.0,70.03,17.0,67.17,3.0,4.0,2.22,97.89,18.0,86.19,,
1409.0,Payer C,Oncology,234.0,28.0,52.0,25.0,10.31,9.74,145.57,57.0,3957.93,,90.4,8.0,85.43,,86.52,,53.07,,,4.26,71.87,24.0,69.45,6.0,2023-03-07
1410.0,Payer B,Oncology,,39.0,36.0,10.0,11.05,12.75,135.66,41.0,30000.0,,89.22,8.0,89.94,1.0,62.2,23.0,,2.0,4.0,4.09,81.49,41.0,88.46,6.0,2023-04-20
1411.0,Payer A,Cardiology,206.0,20.0,52.0,29.0,10.38,13.02,134.39,55.0,1114.58,11.0,85.76,8.0,80.56,2.0,84.89,26.0,54.64,,4.0,4.49,79.84,20.0,70.8,9.0,2022-08-19
1412.0,Payer B,Radiology,153.0,34.0,73.0,29.0,15.64,,59.87,,,9.0,72.54,8.0,86.79,2.0,65.03,22.0,,1.0,2.0,4.04,,12.0,,9.0,
1413.0,Payer B,Oncology,187.0,25.0,54.0,28.0,17.14,9.68,149.34,41.0,,14.0,76.56,6.0,90.45,4.0,62.66,17.0,90.65,1.0,3.0,1.1,88.01,35.0,70.74,5.0,2023-08-20
1414.0,Payer B,,167.0,38.0,56.0,29.0,14.78,10.76,90.04,37.0,4687.34,14.0,81.47,7.0,90.34,3.0,66.07,23.0,81.38,2.0,2.0,2.54,77.86,16.0,84.43,,2020-11-22
1415.0,Payer B,,228.0,37.0,70.0,20.0,13.16,,66.31,34.0,2998.25,11.0,76.65,9.0,84.16,3.0,63.08,20.0,75.34,2.0,,,70.82,37.0,71.52,5.0,2021-05-28
1416.0,Payer A,Radiology,154.0,25.0,35.0,24.0,9.23,6.27,131.21,40.0,3835.9,14.0,80.85,9.0,95.53,1.0,75.63,18.0,86.61,2.0,20.0,1.14,98.87,48.0,79.91,8.0,2020-03-20
1417.0,Payer B,Oncology,102.0,32.0,63.0,20.0,14.65,8.86,72.57,39.0,1875.47,7.0,75.65,9.0,85.98,1.0,89.65,17.0,98.06,,2.0,2.91,92.46,13.0,,8.0,2023-02-15
1418.0,Payer B,Oncology,265.0,,38.0,10.0,11.82,,102.62,32.0,4043.89,12.0,78.74,9.0,91.61,3.0,,,70.88,,0.0,2.44,74.05,,71.84,5.0,2020-09-18
1419.0,Payer C,Radiology,220.0,32.0,78.0,9.0,15.83,10.99,62.8,56.0,3883.82,9.0,86.31,6.0,85.43,3.0,73.83,24.0,68.37,3.0,3.0,3.23,,47.0,61.39,9.0,
1420.0,,Radiology,228.0,26.0,62.0,25.0,,14.36,97.46,52.0,4616.33,6.0,92.31,7.0,88.5,2.0,71.58,35.0,98.89,2.0,1.0,,71.88,23.0,58.05,6.0,2021-08-23
1421.0,Payer C,Cardiology,201.0,120.0,35.0,8.0,17.67,12.77,,38.0,1135.29,6.0,79.63,6.0,84.15,3.0,70.19,10.0,88.57,3.0,20.0,3.35,70.84,45.0,61.16,5.0,2021-07-10
,Payer A,Surgery,137.0,120.0,66.0,6.0,14.25,6.52,94.59,41.0,2790.0,8.0,87.3,7.0,92.66,3.0,69.96,33.0,88.86,1.0,,1.26,,,67.63,5.0,
1423.0,Payer A,Cardiology,184.0,20.0,60.0,10.0,16.12,6.74,56.95,35.0,3716.62,11.0,73.37,6.0,88.51,4.0,86.85,21.0,80.0,1.0,0.0,2.69,92.67,28.0,82.38,6.0,2022-10-15
1424.0,Payer A,Oncology,256.0,34.0,,13.0,10.7,6.0,98.49,,1380.66,14.0,83.52,5.0,80.32,3.0,60.57,14.0,75.35,3.0,2.0,2.41,83.35,21.0,83.16,7.0,2022-01-25
1425.0,Payer A,Cardiology,232.0,120.0,70.0,21.0,5.48,12.38,96.89,45.0,2642.42,8.0,93.04,7.0,80.56,1.0,83.25,34.0,77.53,,1.0,1.9,95.33,24.0,56.54,5.0,2021-01-27
1426.0,Payer C,Cardiology,191.0,32.0,58.0,18.0,17.5,12.06,76.16,50.0,4768.59,13.0,70.7,9.0,89.42,1.0,67.59,23.0,82.6,,2.0,,,18.0,72.11,5.0,2023-08-04
,Payer B,Cardiology,,120.0,43.0,11.0,,14.86,142.16,,2743.74,6.0,76.69,7.0,83.66,,71.5,34.0,,3.0,4.0,1.0,93.26,36.0,66.64,8.0,2020-01-02
,Payer A,Cardiology,298.0,21.0,65.0,26.0,18.38,10.22,91.78,,30000.0,10.0,73.31,8.0,91.7,2.0,72.6,31.0,89.11,2.0,20.0,,72.34,29.0,72.84,,2021-05-10
1429.0,Payer B,Surgery,294.0,,65.0,23.0,19.94,13.26,136.41,58.0,1227.36,8.0,83.33,7.0,88.16,4.0,69.14,,95.46,2.0,1.0,1.31,89.05,37.0,75.9,5.0,2022-01-07
1430.0,Payer C,Surgery,208.0,120.0,44.0,5.0,,10.76,60.97,43.0,3871.32,10.0,,8.0,,2.0,,28.0,78.56,3.0,3.0,4.69,80.82,34.0,61.18,5.0,2023-10-04
1431.0,Payer C,Radiology,146.0,25.0,37.0,24.0,24.16,13.74,81.89,57.0,3324.06,14.0,71.44,8.0,99.05,3.0,63.43,,69.07,1.0,3.0,1.3,78.3,25.0,86.77,7.0,2022-01-15
1432.0,Payer C,Oncology,,35.0,55.0,29.0,5.21,12.21,67.63,33.0,3002.16,13.0,,,90.57,3.0,68.94,25.0,84.78,2.0,0.0,4.81,94.45,27.0,,6.0,2021-09-24
,Payer A,Cardiology,182.0,33.0,65.0,,24.81,,90.84,47.0,4883.39,14.0,91.74,7.0,95.75,4.0,,16.0,59.11,2.0,0.0,2.97,71.56,45.0,54.21,5.0,2022-09-06
1434.0,Payer B,Radiology,134.0,22.0,77.0,22.0,18.66,,61.16,,1518.6,13.0,81.41,5.0,95.06,1.0,64.04,12.0,,1.0,2.0,3.05,98.49,13.0,78.12,7.0,2021-06-18
1435.0,Payer B,Radiology,295.0,,50.0,,17.87,12.23,94.1,47.0,30000.0,13.0,81.57,9.0,98.44,3.0,82.28,32.0,82.9,3.0,,4.15,93.57,,51.33,5.0,
1436.0,Payer B,Radiology,168.0,,57.0,22.0,5.3,9.2,85.39,41.0,30000.0,,93.61,7.0,84.28,3.0,68.67,17.0,53.38,3.0,4.0,,80.67,36.0,51.86,9.0,2021-06-09
1437.0,Payer C,,228.0,21.0,33.0,6.0,22.22,5.97,,48.0,2035.98,7.0,78.01,6.0,96.55,4.0,,30.0,,,0.0,1.95,99.74,10.0,88.31,7.0,2021-04-15
1438.0,Payer A,Cardiology,295.0,20.0,45.0,14.0,7.91,5.4,114.22,37.0,30000.0,13.0,92.43,6.0,98.11,1.0,72.85,30.0,87.52,3.0,20.0,1.1,76.07,14.0,77.79,9.0,2022-01-26
1439.0,Payer C,,239.0,28.0,51.0,15.0,21.75,9.79,145.09,30.0,2717.18,7.0,94.36,6.0,87.86,2.0,65.15,23.0,63.89,1.0,0.0,4.11,82.07,19.0,62.98,5.0,2020-10-17
1440.0,Payer C,Oncology,287.0,28.0,,,5.31,10.99,,43.0,4256.91,14.0,76.04,8.0,,3.0,89.58,29.0,52.55,3.0,0.0,1.52,96.55,30.0,76.8,7.0,2023-08-08
1441.0,Payer B,Cardiology,126.0,26.0,45.0,7.0,17.92,5.79,121.18,,2555.35,7.0,82.85,6.0,99.04,1.0,65.3,12.0,,,3.0,3.39,99.9,19.0,83.83,6.0,2021-09-24
1442.0,Payer C,Cardiology,155.0,22.0,69.0,11.0,13.7,7.87,124.24,35.0,4403.72,9.0,83.36,9.0,92.55,4.0,77.03,37.0,91.68,3.0,1.0,4.77,77.17,,84.84,8.0,2023-01-24
1443.0,Payer B,Radiology,122.0,37.0,67.0,12.0,9.02,8.22,99.81,43.0,3546.52,10.0,91.65,7.0,87.61,4.0,,33.0,62.58,3.0,3.0,3.2,92.29,25.0,50.82,5.0,2022-09-27
1444.0,,Oncology,252.0,,71.0,23.0,7.15,10.63,,31.0,1564.19,13.0,77.6,7.0,95.84,1.0,71.18,20.0,85.85,1.0,3.0,2.14,79.17,47.0,82.73,7.0,2021-05-07
1445.0,Payer B,Cardiology,120.0,26.0,66.0,22.0,13.8,7.78,146.64,38.0,30000.0,5.0,89.95,8.0,86.09,4.0,88.54,31.0,70.39,3.0,,1.72,92.99,12.0,84.13,9.0,2023-12-09
1446.0,Payer A,Surgery,,28.0,58.0,17.0,7.47,5.96,86.22,58.0,1765.38,12.0,94.28,8.0,83.53,2.0,85.32,23.0,52.98,2.0,3.0,1.11,73.76,29.0,73.82,7.0,2022-05-17
,Payer B,Cardiology,162.0,20.0,47.0,17.0,14.73,6.65,115.1,41.0,2647.69,8.0,91.01,8.0,90.88,,84.89,31.0,65.2,3.0,2.0,3.49,80.09,14.0,69.2,6.0,2022-05-06
1448.0,Payer C,Radiology,221.0,33.0,39.0,28.0,17.5,6.74,116.22,34.0,1681.18,14.0,92.73,9.0,91.32,2.0,89.22,,65.7,2.0,4.0,3.23,72.25,,54.44,7.0,2021-04-06
1449.0,Payer C,Surgery,,39.0,71.0,23.0,21.55,13.43,,31.0,1088.06,11.0,,7.0,96.51,4.0,73.71,13.0,95.23,1.0,4.0,2.85,84.76,,59.58,9.0,
,Payer A,Radiology,187.0,25.0,68.0,27.0,18.57,7.84,81.68,48.0,1847.55,10.0,92.6,5.0,89.14,2.0,,30.0,,3.0,2.0,,91.05,34.0,69.62,5.0,
1451.0,Payer A,Cardiology,,,47.0,16.0,6.3,12.15,143.37,36.0,3145.49,10.0,,8.0,96.29,2.0,82.96,36.0,60.49,2.0,0.0,,81.36,,84.6,9.0,2022-02-04
1452.0,Payer A,Surgery,,29.0,30.0,21.0,,10.68,129.0,36.0,2926.24,11.0,87.81,6.0,86.23,2.0,71.42,35.0,71.53,,3.0,,88.44,,,9.0,2022-09-05
1453.0,Payer B,Oncology,145.0,26.0,68.0,26.0,10.76,14.77,61.45,39.0,3005.99,8.0,88.3,5.0,91.51,2.0,65.71,14.0,98.84,3.0,4.0,1.08,87.07,12.0,69.84,9.0,2020-01-30
,Payer B,Oncology,131.0,21.0,,16.0,23.3,7.73,61.99,46.0,1990.75,10.0,80.98,5.0,84.17,1.0,74.5,28.0,70.36,2.0,1.0,2.45,78.84,30.0,81.43,8.0,2023-11-02
1455.0,Payer A,,154.0,,30.0,,22.36,6.58,142.25,55.0,3740.64,7.0,71.99,8.0,87.71,4.0,87.77,,67.46,1.0,,1.16,84.6,14.0,80.63,5.0,2023-10-14
1456.0,Payer C,Surgery,195.0,36.0,44.0,29.0,12.4,5.52,58.14,43.0,3817.05,9.0,85.56,6.0,,4.0,65.14,,55.49,1.0,4.0,1.77,72.07,24.0,73.16,8.0,2021-01-30
1457.0,,Radiology,232.0,20.0,33.0,16.0,6.42,7.41,118.84,56.0,30000.0,6.0,71.3,8.0,84.32,3.0,85.46,30.0,87.66,1.0,3.0,4.73,83.8,13.0,58.81,7.0,2023-02-06
1458.0,Payer B,Surgery,135.0,29.0,,23.0,,11.84,72.68,40.0,4524.68,7.0,,8.0,96.2,2.0,72.55,11.0,72.35,1.0,4.0,1.6,83.75,28.0,63.92,5.0,2022-04-29
1459.0,Payer B,Radiology,209.0,38.0,39.0,18.0,22.76,5.85,53.52,57.0,3576.09,13.0,79.84,6.0,85.66,2.0,64.1,30.0,81.93,,3.0,3.4,70.86,26.0,56.56,5.0,2023-07-05
1460.0,Payer A,Cardiology,276.0,34.0,52.0,,22.09,,55.96,,3852.16,10.0,94.97,5.0,,3.0,85.45,12.0,75.49,1.0,0.0,2.39,85.42,17.0,50.29,7.0,2020-11-29
1461.0,Payer A,Radiology,205.0,120.0,,17.0,21.9,13.55,87.35,,2109.36,7.0,77.5,5.0,82.2,3.0,89.09,24.0,58.73,3.0,2.0,3.53,92.13,46.0,53.22,7.0,2023-11-28
1462.0,Payer A,Surgery,157.0,38.0,63.0,10.0,14.61,10.83,,37.0,1002.45,6.0,90.51,6.0,94.92,2.0,68.74,28.0,58.82,3.0,3.0,4.41,83.57,33.0,80.39,9.0,2023-06-08
1463.0,Payer A,Surgery,138.0,31.0,75.0,28.0,,5.7,109.66,48.0,30000.0,9.0,71.33,5.0,85.24,4.0,69.11,30.0,96.99,2.0,3.0,2.15,89.38,13.0,51.34,5.0,2020-05-27
1464.0,Payer A,Cardiology,179.0,35.0,77.0,23.0,,5.48,114.73,59.0,4289.7,14.0,83.24,9.0,93.08,3.0,71.72,34.0,94.48,1.0,0.0,,85.97,33.0,65.99,6.0,2021-07-25
1465.0,Payer C,Surgery,196.0,28.0,,23.0,14.89,5.61,87.35,48.0,1492.77,,83.42,8.0,93.98,2.0,,39.0,80.53,1.0,0.0,1.82,93.56,28.0,89.43,9.0,2022-03-12
1466.0,Payer C,Surgery,212.0,34.0,63.0,8.0,14.8,14.42,124.29,53.0,,5.0,85.72,9.0,86.9,4.0,60.31,11.0,50.06,1.0,1.0,2.76,85.43,33.0,81.81,5.0,2023-04-03
1467.0,Payer A,Oncology,160.0,36.0,68.0,23.0,15.78,,99.0,53.0,3645.36,7.0,90.25,9.0,89.5,1.0,66.72,34.0,71.66,2.0,0.0,3.06,,30.0,80.02,7.0,2020-07-13
1468.0,Payer B,Oncology,,33.0,39.0,13.0,10.15,13.45,,53.0,3608.44,11.0,89.05,9.0,88.08,3.0,81.18,12.0,,3.0,20.0,4.77,94.83,26.0,60.99,7.0,2021-04-27
1469.0,Payer A,Cardiology,105.0,37.0,49.0,20.0,,14.24,90.7,46.0,4441.4,,,7.0,98.95,3.0,72.17,38.0,72.47,3.0,3.0,1.06,72.03,17.0,75.67,6.0,2020-05-06
1470.0,,,208.0,21.0,30.0,8.0,13.68,10.05,,53.0,1561.07,9.0,80.81,7.0,86.4,4.0,69.91,21.0,96.27,1.0,20.0,,78.68,40.0,69.95,5.0,
,Payer C,Oncology,134.0,23.0,42.0,,7.62,,146.79,53.0,2719.76,8.0,88.19,9.0,83.67,1.0,86.17,32.0,52.04,3.0,0.0,1.29,87.74,28.0,74.95,8.0,2022-02-25
1472.0,Payer B,Radiology,138.0,37.0,30.0,12.0,14.11,9.01,118.14,47.0,1388.9,7.0,,8.0,87.31,4.0,87.52,37.0,82.75,3.0,3.0,1.31,,20.0,67.43,9.0,2023-05-31
1473.0,Payer C,Surgery,249.0,120.0,34.0,28.0,21.21,12.19,81.52,41.0,2558.38,,71.67,9.0,93.39,3.0,88.44,23.0,65.69,3.0,2.0,3.62,72.16,32.0,71.24,5.0,2021-07-17
1474.0,Payer A,Oncology,,32.0,45.0,20.0,21.56,,123.39,38.0,30000.0,13.0,92.25,9.0,93.95,1.0,68.18,26.0,77.97,1.0,1.0,4.64,72.88,,89.54,8.0,2021-07-09
1475.0,Payer B,Cardiology,217.0,34.0,44.0,9.0,13.23,9.35,83.03,52.0,4593.09,,92.25,7.0,,,87.38,25.0,82.8,3.0,4.0,2.15,78.47,37.0,63.17,7.0,2020-06-03
1476.0,Payer A,Cardiology,104.0,120.0,78.0,25.0,,10.35,62.57,53.0,3108.18,,78.07,9.0,97.64,3.0,82.11,26.0,,3.0,,2.08,80.34,32.0,58.66,7.0,2020-02-07
1477.0,Payer A,Cardiology,269.0,30.0,57.0,26.0,5.67,14.32,97.54,,4399.21,12.0,92.85,8.0,85.77,4.0,64.63,33.0,57.42,,0.0,3.47,95.31,21.0,67.94,,2021-08-26
1478.0,Payer B,Oncology,186.0,29.0,60.0,14.0,18.49,6.07,125.1,47.0,1239.62,14.0,88.95,8.0,,4.0,78.31,18.0,75.95,1.0,4.0,4.11,98.77,25.0,,8.0,2022-09-06
1479.0,Payer A,Radiology,175.0,24.0,52.0,27.0,13.09,13.62,87.77,45.0,1909.83,,80.02,9.0,94.95,4.0,60.79,12.0,96.65,3.0,1.0,4.48,70.52,25.0,53.43,6.0,2023-12-16
1480.0,Payer C,Surgery,294.0,,77.0,17.0,13.91,6.59,136.92,45.0,2037.52,8.0,78.29,8.0,98.33,4.0,81.25,31.0,,1.0,3.0,2.0,70.46,23.0,82.24,5.0,2020-01-13
1481.0,Payer A,Radiology,257.0,120.0,74.0,18.0,22.47,9.84,88.7,33.0,2546.77,9.0,94.38,,86.74,4.0,82.01,23.0,56.15,3.0,0.0,3.96,95.94,16.0,66.88,7.0,2020-12-14
1482.0,Payer B,Radiology,156.0,25.0,,11.0,14.24,7.18,84.98,52.0,4211.47,9.0,87.82,7.0,88.89,3.0,83.68,12.0,91.21,1.0,20.0,2.23,74.07,30.0,,9.0,2021-02-08
,Payer B,Surgery,,28.0,46.0,24.0,5.42,11.03,149.82,51.0,30000.0,5.0,79.47,9.0,97.99,1.0,65.18,15.0,61.09,3.0,4.0,3.18,80.18,30.0,76.35,7.0,2022-03-20
,Payer B,Surgery,128.0,120.0,78.0,,,,,36.0,1818.61,7.0,86.05,5.0,87.17,,78.85,32.0,68.51,,20.0,1.76,78.26,44.0,80.93,5.0,2020-08-12
1485.0,Payer A,Oncology,264.0,,,11.0,14.51,8.8,130.52,30.0,1259.96,6.0,84.29,,89.61,4.0,,30.0,71.44,2.0,,1.58,78.46,33.0,89.44,8.0,2022-05-13
1486.0,Payer B,Oncology,186.0,120.0,,9.0,13.49,13.63,130.5,53.0,1317.97,11.0,83.11,8.0,,2.0,88.4,28.0,66.98,1.0,4.0,4.74,,10.0,56.94,6.0,2020-10-30
1487.0,Payer B,Oncology,240.0,20.0,43.0,25.0,22.21,11.6,,58.0,30000.0,9.0,86.12,8.0,96.04,2.0,80.25,33.0,70.22,,4.0,3.19,80.08,23.0,63.82,7.0,2022-12-05
1488.0,Payer A,,259.0,36.0,40.0,,15.84,12.21,58.49,52.0,2779.21,7.0,83.44,7.0,84.87,1.0,62.86,22.0,89.77,2.0,0.0,1.02,,29.0,56.73,6.0,2020-08-07
1489.0,Payer C,Oncology,145.0,24.0,,27.0,18.79,6.51,77.12,58.0,30000.0,12.0,86.37,5.0,,3.0,65.61,14.0,61.17,2.0,4.0,4.17,88.86,37.0,85.23,8.0,2020-03-18
1490.0,Payer A,Surgery,215.0,21.0,71.0,16.0,14.39,13.83,126.77,49.0,3729.15,5.0,92.69,7.0,87.06,3.0,79.9,10.0,73.52,1.0,2.0,3.76,85.69,27.0,71.94,5.0,2022-04-04
1491.0,Payer B,Radiology,211.0,,61.0,10.0,13.79,6.67,106.26,30.0,1541.45,5.0,94.83,6.0,98.25,,74.3,21.0,51.0,1.0,4.0,2.3,95.76,12.0,84.1,7.0,
1492.0,Payer B,Oncology,250.0,23.0,64.0,5.0,13.93,7.23,105.96,37.0,1571.55,10.0,87.73,,99.98,,,24.0,75.38,2.0,2.0,2.86,95.37,36.0,89.41,5.0,2021-06-12
1493.0,Payer A,Oncology,144.0,36.0,60.0,8.0,13.22,6.28,66.62,55.0,4021.37,5.0,93.2,,95.48,1.0,68.42,34.0,55.58,,3.0,2.8,76.52,,72.01,9.0,2023-01-25
1494.0,Payer C,Radiology,244.0,36.0,46.0,23.0,,9.4,78.12,52.0,3885.07,8.0,91.46,6.0,89.69,4.0,79.74,28.0,64.11,,2.0,,86.31,13.0,54.73,5.0,2021-04-25
1495.0,Payer B,Oncology,203.0,37.0,76.0,16.0,10.01,13.88,102.13,37.0,2512.12,10.0,77.38,9.0,80.2,3.0,65.31,,66.24,,0.0,4.92,93.52,10.0,64.45,8.0,2023-01-30
1496.0,Payer B,Radiology,184.0,120.0,38.0,19.0,22.82,7.52,77.72,39.0,1309.69,5.0,93.32,5.0,93.95,,76.31,12.0,54.12,3.0,,3.18,,30.0,51.45,8.0,2022-03-04
1497.0,Payer B,Radiology,293.0,27.0,39.0,7.0,11.66,8.74,71.03,30.0,1048.39,13.0,71.77,9.0,,2.0,88.73,16.0,68.03,1.0,1.0,4.59,,44.0,83.97,9.0,2021-11-09
1498.0,Payer A,Surgery,233.0,30.0,37.0,,7.95,13.46,58.78,50.0,30000.0,8.0,78.25,6.0,92.66,4.0,78.85,,,1.0,3.0,3.34,84.82,37.0,50.72,5.0,2022-12-30
1499.0,Payer B,Cardiology,207.0,120.0,50.0,24.0,6.93,11.18,65.57,54.0,,13.0,,8.0,92.13,4.0,61.5,20.0,71.55,,0.0,3.76,,,73.69,8.0,2021-12-29
1500.0,Payer C,Surgery,117.0,29.0,42.0,12.0,5.27,12.52,126.89,50.0,1920.29,13.0,83.17,8.0,89.62,4.0,89.66,37.0,64.02,2.0,,,90.99,44.0,54.25,8.0,2022-01-21
1501.0,Payer B,Cardiology,193.0,120.0,79.0,15.0,13.46,7.14,121.88,58.0,2678.0,10.0,83.56,,98.89,4.0,64.71,19.0,64.74,2.0,3.0,3.05,79.91,30.0,50.3,8.0,2023-03-27
1502.0,Payer B,Cardiology,249.0,,34.0,20.0,8.75,12.16,54.58,43.0,30000.0,11.0,89.87,9.0,80.46,1.0,,17.0,81.68,1.0,20.0,3.89,78.8,25.0,,8.0,
1503.0,Payer C,Cardiology,132.0,37.0,35.0,13.0,5.43,7.28,70.33,43.0,1417.11,5.0,74.87,5.0,94.24,4.0,75.98,11.0,85.92,1.0,,1.49,,35.0,72.07,6.0,2020-02-19
1504.0,,Oncology,257.0,29.0,59.0,7.0,15.4,14.87,106.05,39.0,4585.75,9.0,94.55,9.0,88.2,2.0,68.83,23.0,78.83,2.0,0.0,3.71,81.98,,,7.0,2022-07-23
1505.0,Payer A,Surgery,225.0,35.0,60.0,9.0,18.6,10.6,82.26,57.0,,7.0,80.94,9.0,94.28,2.0,65.32,,98.81,2.0,1.0,1.34,70.12,18.0,74.6,6.0,2021-02-05
,Payer A,Cardiology,259.0,39.0,,24.0,6.72,11.96,132.32,48.0,4737.82,14.0,93.75,8.0,93.5,,65.33,16.0,97.24,3.0,,4.23,,32.0,76.88,8.0,2022-01-25
1507.0,Payer A,Radiology,269.0,24.0,40.0,,14.22,,128.5,54.0,2383.3,,79.58,9.0,80.2,4.0,85.75,,54.92,3.0,4.0,4.91,74.49,11.0,88.79,5.0,2022-06-14
1508.0,Payer C,Oncology,221.0,32.0,49.0,19.0,19.87,,139.16,58.0,30000.0,10.0,85.04,6.0,85.71,,86.19,30.0,63.07,3.0,0.0,3.51,74.46,,85.98,6.0,2020-03-06
1509.0,Payer B,Surgery,237.0,37.0,77.0,10.0,24.72,6.4,106.29,,1818.77,8.0,81.26,,83.78,3.0,73.95,,,1.0,0.0,,94.55,42.0,,9.0,2023-06-12
1510.0,Payer A,Cardiology,214.0,36.0,38.0,8.0,18.34,8.9,85.21,38.0,3473.36,13.0,,7.0,83.34,4.0,,16.0,51.48,1.0,1.0,3.35,80.07,33.0,81.73,7.0,2021-09-17
1511.0,Payer C,Radiology,263.0,28.0,,12.0,9.9,7.84,110.61,49.0,1518.34,11.0,74.59,7.0,94.57,1.0,86.52,10.0,79.61,2.0,20.0,3.96,79.85,32.0,64.55,,2022-07-27
1512.0,Payer B,Surgery,261.0,33.0,66.0,23.0,,12.33,,45.0,1008.32,,80.02,,84.79,3.0,74.61,10.0,97.72,3.0,20.0,4.73,88.67,15.0,73.43,6.0,2020-09-25
1513.0,,Surgery,127.0,36.0,30.0,9.0,16.96,6.09,50.96,49.0,,10.0,71.71,8.0,89.49,,73.16,15.0,83.94,1.0,1.0,1.18,71.77,30.0,66.13,7.0,2023-07-04
1514.0,Payer A,Oncology,110.0,23.0,33.0,17.0,9.24,12.52,51.71,56.0,3219.58,6.0,84.95,7.0,84.94,,72.22,,54.6,,4.0,4.1,77.11,14.0,63.48,6.0,2021-02-19
1515.0,Payer A,Surgery,266.0,120.0,65.0,20.0,22.02,5.46,90.75,37.0,4707.76,7.0,,5.0,91.6,4.0,70.95,10.0,87.39,3.0,20.0,1.53,71.6,22.0,79.11,9.0,
1516.0,Payer A,Oncology,146.0,,54.0,5.0,,7.02,72.81,36.0,2335.33,11.0,71.15,7.0,,4.0,75.78,25.0,68.82,1.0,3.0,4.16,78.75,,,8.0,
1517.0,Payer C,Cardiology,226.0,34.0,32.0,17.0,24.24,12.92,65.73,40.0,2311.14,8.0,86.49,9.0,86.62,,,12.0,96.08,3.0,4.0,,96.1,22.0,65.22,9.0,2021-05-13
,Payer C,,246.0,30.0,38.0,26.0,19.46,12.43,111.53,50.0,2602.62,,89.38,7.0,92.06,3.0,73.99,,64.32,,3.0,4.44,97.28,28.0,64.69,8.0,2023-11-07
1519.0,,Radiology,217.0,31.0,51.0,15.0,17.89,9.76,149.51,35.0,3824.16,11.0,75.33,7.0,96.5,3.0,,30.0,73.66,2.0,0.0,3.61,79.28,18.0,84.82,7.0,2021-02-04
1520.0,Payer C,,242.0,28.0,52.0,25.0,19.57,5.5,67.78,44.0,3263.23,13.0,76.83,5.0,81.88,1.0,69.53,13.0,87.33,1.0,3.0,3.0,,12.0,56.82,,2023-06-11
